site_unique,site_location_name,established_date,bioregion_name,landform_pattern,landform_element,site_slope,site_aspect,outcrop_lithology,other_outcrop_lithology,site_location_visit_id,visit_start_date,visit_end_date,erosion_type,erosion_abundance,erosion_state,microrelief,drainage_type,disturbance,climatic_condition,vegetation_condition,observer_veg,observer_soil,described_by,pit_marker_easting,pit_marker_northing,pit_marker_mga_zones,pit_marker_datum,pit_marker_location_method,soil_observation_type,a_s_c,plot_is_100m_by_100m,plot_is_aligned_to_grid,plot_is_permanently_marked,latitude,longitude,point,state,visit_date,visit_number,x,y
SAAEYB0026-58843,SAAEYB0026,2020-09-14T14:32:29Z,EYB,RIS,HSL,5,225,KC,NC,58843,2020-09-14T14:32:29Z,2020-09-14T14:32:29Z,n/a,X,n/a,Z,4,0,WET,FFR,1,42,1,535969.9,6163450.2,53,WGS84,TABLET,P,4 CA DA DZ CP BGM-T,TRUE,TRUE,TRUE,-34.6702565665773,135.392463514687,SW,SA,2020-09-14,1,135.392463514687,-34.6702565665773
SAAEYB0027-58854,SAAEYB0027,2020-09-15T12:56:05Z,EYB,DUN,DUS,3,235,KC,,58854,2020-09-15T12:56:05Z,2020-09-15T12:56:05Z,n/a,X,n/a,Z,7,0,WET,FFR,1,42,30,535918.1,6162374.7,53,WGS84,TABLET,P,4 CA DA DZ CP AGL-T,TRUE,TRUE,TRUE,-34.6799485006395,135.391065811798,SW,SA,2020-09-15,1,135.391065811798,-34.6799485006395
SAAEYB0028-58829,SAAEYB0028,2020-09-15T15:52:19Z,EYB,DUN,DUS,3,190,KC,,58829,2020-09-15T15:52:19Z,2020-09-15T15:52:19Z,W,3,A,Z,6,0,WET,AVG,30,45,30,535603.3,6161528.7,53,WGS84,TABLET,P,3 RU EL ZZ ZZ EKX--,TRUE,TRUE,TRUE,-34.688537987332,135.387597043682,SW,SA,2020-09-15,1,135.387597043682,-34.688537987332
SAAEYB0029-58855,SAAEYB0029,2021-03-02T10:54:15Z,EYB,SAN,HSL,3,300,,,58855,2021-03-02T10:54:15Z,2021-03-02T10:54:15Z,NC,NC,NC,NC,4,0,WET,BurntR,30,42,30,680436.7,6317564.1,53,WGS84,TABLET,P,4 CA JT -- CP CFMO-,TRUE,TRUE,TRUE,-33.265793866005,136.937198090851,SW,SA,2021-03-02,1,136.937198090851,-33.265793866005
SAAEYB0030-58856,SAAEYB0030,2021-03-03T14:53:36Z,EYB,LOW,HCR,1,240,,,58856,2021-03-03T14:53:36Z,2021-03-03T14:53:36Z,NC,NC,NC,NC,4,0,DRY,DRY,1,42,1,669983.4,6326164.8,53,WGS84,TABLET,P,4 CH AA BD? CD BELOU,TRUE,TRUE,TRUE,-33.1909190686092,136.823457430335,SW,SA,2021-03-03,1,136.823457430335,-33.1909190686092
SAAEYB0031-58884,SAAEYB0031,2021-03-02T15:05:14Z,EYB,PLA,PLA,0,"",,NC,58884,2021-03-02T15:05:14Z,2021-03-02T15:05:14Z,W,1,A,Z,4,0,DRY,DRY,1,45,1,677251.7,6324132.7,53,WGS84,TABLET,P,4 CH AA CQ IE BEMO-,TRUE,TRUE,TRUE,-33.2081081678862,136.90071180528,SW,SA,2021-03-02,1,136.90071180528,-33.2081081678862
SAAEYB0032-58899,SAAEYB0032,2021-03-04T10:45:38Z,EYB,PLA,PLA,1,35,,,58899,2021-03-04T10:45:38Z,2021-03-04T10:45:38Z,W,1,A,Z,4,0,DRY,BurntR,1,45,1,672490.4,6324851.4,53,WGS84,TABLET,P,4 CH AA CQ EO BELO-,TRUE,TRUE,TRUE,-33.2023505004681,136.849443665604,SW,SA,2021-03-04,1,136.849443665604,-33.2023505004681
SAAEYB0033-58859,SAAEYB0033,2021-03-04T20:51:11Z,EYB,PLA,PLA,0,"",,,58859,2021-03-04T20:51:11Z,2021-03-04T20:51:11Z,W,1,S,Z,4,0,DRY,DRY,50,47,30,679291,6322295.8,53,WGS84,TABLET,P,4 CA CQ DY BP CEOO-,TRUE,TRUE,TRUE,-33.2233481080784,136.924063302282,SW,SA,2021-03-04,1,136.924063302282,-33.2233481080784
SAAEYB0035-59157,SAAEYB0035,2021-11-24T00:00:00Z,EYB,SAN,SWL,2,325,,NC,59157,2021-11-24T00:00:00Z,2021-11-24T00:00:00Z,n/a,0,n/a,Z,6,0,WET,FFR,1,13,1,236564.7,236564.7,53,WGS84,"",P,4 RE JT CP ZZ EKK- WR,TRUE,TRUE,TRUE,-31.983078,132.211062,SW,SA,2021-11-24,1,132.211062,-31.983078
SAAEYB0036-59158,SAAEYB0036,2021-11-25T00:00:00Z,EYB,PLA,LAK,0,"",,,59158,2021-11-25T00:00:00Z,2021-11-25T00:00:00Z,n/a,X,n/a,Z,2,0,WET,AVG,1,13,1,251923.8,6457297.7,53,WGS84,"",P,4 HY CS FY ZZ AELM-,TRUE,TRUE,TRUE,-31.994197,132.374271,SW,SA,2021-11-25,1,132.374271,-31.994197
SAAFLB0003-58033,SAAFLB0003,2016-07-25T12:56:20Z,FLB,HIL,HSL,9,225,,NC,58033,2016-10-25T12:56:20Z,2016-10-25T12:56:20Z,n/a,X,n/a,Z,3,2,WET,AVG,1,17,1,285180,6127339,54,WGS84,GPS,PA,"",TRUE,TRUE,TRUE,-34.97365,138.646998,SW,SA,2016-10-25,1,138.646998,-34.97365
SAAFLB0003-58636,SAAFLB0003,2016-07-25T12:56:20Z,FLB,HIL,HSL,9,225,,NC,58636,2018-10-25T15:35:00Z,2018-10-25T15:35:00Z,n/a,X,n/a,Z,3,2,"","",1,31,1,,,,"","",NC,"",TRUE,TRUE,TRUE,-34.97365,138.646998,SW,SA,2018-10-25,2,138.646998,-34.97365
SAAFLB0003-58704,SAAFLB0003,2016-07-25T12:56:20Z,FLB,HIL,HSL,9,225,,NC,58704,2018-11-07T12:22:00Z,2018-11-07T12:22:00Z,n/a,X,n/a,Z,3,2,WET,DRY,1,31,1,,,,"","",NC,"",TRUE,TRUE,TRUE,-34.97365,138.646998,SW,SA,2018-11-07,3,138.646998,-34.97365
SAAFLB0004-58526,SAAFLB0004,2017-08-17T11:20:36Z,FLB,RIS,PLA,3,"",,NC,58526,2017-08-17T11:20:36Z,2017-08-17T11:20:36Z,NC,NC,NC,NC,7,NC,WET,AVG,1,13,1,,,,"","",NC,NC,TRUE,TRUE,TRUE,-35.0703472222222,138.5786,SW,SA,2017-08-17,1,138.5786,-35.0703472222222
SAAFLB0004-58611,SAAFLB0004,2017-08-17T11:20:36Z,FLB,RIS,PLA,3,"",,NC,58611,2018-10-03T11:01:00Z,2018-10-03T11:01:00Z,n/a,X,n/a,AM,3,0,"","",1,31,1,279219.717,6116468.073,54,WGS84,TABLET,P,NC,TRUE,TRUE,TRUE,-35.0703472222222,138.5786,SW,SA,2018-10-03,2,138.5786,-35.0703472222222
